School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
B04724,WIDENER UNIVERSITY - DELAWARE LAW SCHOOL,4601 CONCORD PIKE,WILMINGTON,DE,19803,N/A,N/A,N/A
B06171,CENTER FOR ADVANCED STUDIES OF PUER,52 DEL CRISTO STREET,OLD SAN JUAN,PR,00901,N/A,N/A,N/A
B06511,PENTECOSTAL THEOLOGICAL SEMINARY,PO BOX 3330,CLEVELAND,TN,37320,N/A,N/A,N/A
B07022,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY,707 WILSHIRE BOULEVARD,LOS ANGELES,CA,90017,N/A,N/A,N/A
B07624,NATIONAL UNIVERSITY OF NATURAL MEDICINE,49 SOUTH PORTER STREET,PORTLAND,OR,97201,N/A,N/A,N/A
B07625,OREGON COLLEGE OF ORIENTAL MEDICINE,75 NORTHWEST COUCH STREET,PORTLAND,OR,97209,N/A,N/A,N/A
B08041,ADLER GRADUATE SCHOOL,1550 E 78TH ST,RICHFIELD,MN,55423,N/A,N/A,N/A
B08083,UNIV OF THE DIST OF COLU -SCHOOL OF LAW,4200 CONNECTICUT AVENUE NW,WASHINGTON,DC,20008,N/A,N/A,N/A
B42154,GRACE SCHOOL OF THEOLOGY,3705 COLLEGE PARK DRIVE,THE WOODLANDS,TX,77384,N/A,N/A,N/A
E00014,AMRCN REPERTORY THTR INST ADV THTR,64 BRATTLE STREET,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00058,BROWN UNIVERSITY - GRADUATE SCHOOL,8 FONES ALLEY,PROVIDENCE,RI,02912,N/A,N/A,N/A
E00059,BROWN MEDICAL SCHOOL,97 WATERMAN STREET  BOX G-A212,PROVIDENCE,RI,02912,N/A,N/A,N/A
E00131,"CATHOLIC UNIV AMERICA, LAW SCHOOL",OFC FNCL AID  CARDINAL STATION,WASHINGTON,DC,20064,N/A,N/A,N/A
E00171,EAST TENNESSEE STATE UNIV - MEDICINE,VA CAMPUS MAPLE AVENUE,JOHNSON CITY,TN,37614,N/A,N/A,N/A
E00177,ERSKINE THEOLOGICAL SEMINARY,PO BOX 668,DUE WEST,SC,29639,N/A,N/A,N/A
E00196,GEORGE WASHINGTON UNIV LAW SCHL,2000 H STREET NW,WASHINGTON,DC,20052,N/A,N/A,N/A
E00197,GEORGE WASHINGTON UNIV SCH MED,2300 I ST NW,WASHINGTON,DC,20052,N/A,N/A,N/A
E00209,HARVARD EXTENSION SCHOOL,51 BRATTLE STREET,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00210,HARVARD UNIVERSITY - HARVARD DIVINITY SC,45 FRANCIS AVENUE,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00212,HARVARD UNIV GRAD SCH DESIGN,48 QUINCY STR,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00213,HARVARD UNIV GRAD SCH ED,13 APPIAN WAY,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00214,HARVARD UNIV SCHL OF PUBLIC HEALTH,677 HUNTINGTON AVENUE,BOSTON,MA,02115,N/A,N/A,N/A
E00215,HARVARD KENNEDY SCHOOL,124 MT AUBURN ST,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00233,JOHNS HOPKINS UNIV PEABODY CONSERV,1 MT. VERNON PLACE,BALTIMORE,MD,21202,N/A,N/A,N/A
E00234,JOHNS HOPKINS BLOOMBERG SCH OF PH,615 N. WOLFE  STREET,BALTIMORE,MD,21205,N/A,N/A,N/A
E00235,JOHNS HOPKINS UNIV SCH OF MEDICINE,733 N. BROADWAY - SUITE 137,BALTIMORE,MD,21205,N/A,N/A,N/A
E00254,LMU  - LOYOLA LAW SCHOOL,919 SOUTH ALBANY STREET,LOS ANGELES,CA,90015,N/A,N/A,N/A
E00306,OHIO UNIV COLL OF OSTEOPATHIC MED,014 GROSVENOR HALL,ATHENS,OH,45701,N/A,N/A,N/A
E00341,STANFORD UNIVERSITY - STANFORD LAW SCHOO,559 NATHAN ABBOTT WAY,STANFORD,CA,94305,N/A,N/A,N/A
E00342,STETSON UNIVERSITY - COLLEGE OF LAW,1401 61ST STREET SOUTH,SAINT PETERSBURG,FL,33707,N/A,N/A,N/A
E00362,TUFTS UNIVERSITY - CUMMINGS SCHOOL OF VE,200 WESTBORO ROAD,NORTH GRAFTON,MA,01536,N/A,N/A,N/A
E00374,UNIV OF CALIFORNIA LOS ANG SCH MED,FIN AID OFFICE  12-109 CHS,LOS ANGELES,CA,90095,N/A,N/A,N/A
E00375,UNIV OF CALIFORNIA LOS ANG DENTAL,A3042 DENTAL BLDG,LOS ANGELES,CA,90095,N/A,N/A,N/A
E00398,UNIVERSITY OF MICHIGAN - ANN ARBOR - SCH,1301 CATHERINE,ANN ARBOR,MI,48109,N/A,N/A,N/A
E00428,VILLANOVA UNIV SCH OF LAW,299 N. SPRING MILL RD GAREY HL,VILLANOVA,PA,19085,N/A,N/A,N/A
E00429,WAKE FOREST UNIV - GRAD A&S/DIVINITY,PO BOX 7246,WINSTON-SALEM,NC,27109,N/A,N/A,N/A
E00468,HARVARD UNIVERSITY-HARVARD COLLEGE,86 BRATTLE STREET,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00470,HARVARD UNIV GRAD S OF ARTS & SCIEN,1350 MASSACHUSETTS AVE,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00471,HARVARD LAW SCHOOL,1563 MASS AVE,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00472,HARVARD UNIV MEDICAL SCHOOL,25 SHATTUCK ST,BOSTON,MA,02115,N/A,N/A,N/A
E00473,JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,3400 N. CHARLES ST,BALTIMORE,MD,21218,N/A,N/A,N/A
E00474,JOHNS HOPKINS UNIV SCH ADV INTL STU,1740 MASSACHUSETTS AVE. NW,WASHINGTON,DC,20036,N/A,N/A,N/A
E00475,JOHNS HOPKINS UNIVERSITY - SCHOOL OF EDU,6740 ALEXANDER BELL DRIVE,COLUMBIA,MD,21046,N/A,N/A,N/A
E00476,JOHNS HOPKINS UNIV SCH OF NURSING,525 N WOLFE STREET - ROOM 127,BALTIMORE,MD,21205,N/A,N/A,N/A
E00479,MISSISSIPPI COLLEGE - SCHOOL OF LAW,151 EAST GRIFFITH,JACKSON,MS,39201,N/A,N/A,N/A
E00505,ST. JOSEPH'S UNIVERSITY NEW YORK - LI CA,155 WEST ROE BOULEVARD,PATCHOGUE,NY,11772,N/A,N/A,N/A
E00506,UNIVERSITY OF MICHIGAN - ANN ARBOR - SCH,324 HUTCHINS,ANN ARBOR,MI,48109,N/A,N/A,N/A
E00507,HARVARD BUSINESS SCHOOL,SPANGLER CTR,BOSTON,MA,02163,N/A,N/A,N/A
E00508,HARVARD SCH OF DENTAL MEDICINE,188 LONGWOOD AVE,BOSTON,MA,02115,N/A,N/A,N/A
E00514,WAKE FOREST UNIV - SCH OF LAW,PO BOX 7206,WINSTON-SALEM,NC,27109,N/A,N/A,N/A
E00515,WAKE FOREST GRAD SCHOOLS OF BUSINESS,WORRELL PROFESSIONAL CENTER,WINSTON-SALEM,NC,27109,N/A,N/A,N/A
E00516,UNIVERSITY OF PITTSBURGH - SCHOOL OF MED,M-219 SCAIFE HALL,PITTSBURGH,PA,15261,N/A,N/A,N/A
E00518,"GEORGETOWN UNIV, SCH OF MEDICINE",3900 RESERVIOR RD  NW,WASHINGTON,DC,20007,N/A,N/A,N/A
E00519,TUFTS UNIV SCH OF DENTAL MEDICINE,1 KNEELAND STR,BOSTON,MA,02111,N/A,N/A,N/A
E00520,TUFTS UNIV SCHOOL OF MEDICINE,136 HARRISON AVE,BOSTON,MA,02111,N/A,N/A,N/A
E00522,"SMITH COLLEGE, SCH FOR SOCIAL WORK",LILLY HALL,NORTHAMPTON,MA,01063,N/A,N/A,N/A
E00524,WAKE FOREST UNIV - SCH OF MEDICINE,MEDICAL CENTER BLVD,WINSTON-SALEM,NC,27157,N/A,N/A,N/A
E00532,UNIV OF MIAMI SCHOOL OF LAW,211 OLD LAW PO BOX 24-8087,CORAL GABLES,FL,33124,N/A,N/A,N/A
E00533,UNIV OF MIAMI-SCH OF MEDICINE,1600 NW 10TH AVE,MIAMI,FL,33136,N/A,N/A,N/A
E00540,SOUTHWESTERN OK STATE UNIV AT SAYRE,409 EAST MISSISSIPPI AVENUE,SAYRE,OK,73662,N/A,N/A,N/A
E00546,NY INSTITUTE OF TECHNOLOGY-OSTEOPATHIC M,NORTHERN BOULEVARD,OLD WESTBURY,NY,11568,N/A,N/A,N/A
E00554,ANTIOCH UNIV/LOS ANGELES,400 CORPORATE POINTE,CULVER CITY,CA,90230,N/A,N/A,N/A
E00555,ANTIOCH UNIV/SEATTLE,2626 SIXTH AVENUE,SEATTLE,WA,98121,N/A,N/A,N/A
E00556,ANTIOCH  UNIV/SANTA BARBARA,801 GARDEN STR  SUITE 101,SANTA BARBARA,CA,93101,N/A,N/A,N/A
E00557,ANTIOCH UNIVERSITY,40 AVON STREET,KEENE,NH,03431,N/A,N/A,N/A
E00562,"MIDDLESEX COMMUNITY COLLEGE, LOWELL",33 KEARNEY SQUARE,LOWELL,MA,01852,N/A,N/A,N/A
E00584,FLORIDA ATLANTIC UNIVERSITY/DAVIE,2912 COLLEGE AVENUE,DAVIE,FL,33314,N/A,N/A,N/A
E00587,UNIV OF KY-COLLEGE OF DENTISTRY,D155 CHANDLER MEDICAL CENTER,LEXINGTON,KY,40536,N/A,N/A,N/A
E00588,UNIV OF KY-COLLEGE OF MEDICINE,OSFA - MN109A CHANDLER MED CTR,LEXINGTON,KY,40536,N/A,N/A,N/A
E00602,SOUTH UNIVERSITY - WEST PALM BEACH,1760 N. CONGRESS AVE.,WEST PALM BEACH,FL,33409,N/A,N/A,N/A
E00606,SO IL UNIV-SCHL OF DENTAL MEDICINE,2800 COLLEGE AVENUE,ALTON,IL,62002,N/A,N/A,N/A
E00611,MIAMI DADE COLLEGE - HOMESTEAD CAMPUS,500 COLLEGE TERRACE,HOMESTEAD,FL,33030,N/A,N/A,N/A
E00616,CARLOS ALBIZU UNIVERSITY,2173 N.W. 99TH AVE,MIAMI,FL,33172,N/A,N/A,N/A
E00646,ECPI UNIVERSITY - CHARLOTTE,4800 AIRPORT CENTER PARKWAY,CHARLOTTE,NC,28208,N/A,N/A,N/A
E00647,ECPI UNIVERSITY - GREENSBORO,7802 AIRPORT CENTER DRIVE,GREENSBORO,NC,27409,N/A,N/A,N/A
E00648,ECPI UNIVERSITY - NEWPORT NEWS,1001 OMNI BOULEVARD,NEWPORT NEWS,VA,23606,N/A,N/A,N/A
E00651,U OF MD UNIVERSITY COLLEGE - ASIA,3501 UNIVERSITY BOULEVARD,ADLEPHI,MD,31207,N/A,N/A,N/A
E00656,WIDENER UNIVERSITY - COMMONWEALTH LAW SC,3800 VARTAN WAY,HARRISBURG,PA,17110,N/A,N/A,N/A
E00673,REMINGTON COLLEGE - HOUSTON CAMPUS - FT.,5555 RUFE SNOW DRIVE,NORTH RICHLAND HILLS,TX,76180,N/A,N/A,N/A
E00686,OHIO BUSINESS COLLEGE,5202 TIMBER COMMONS DRIVE,SANDUSKY,OH,44870,N/A,N/A,N/A
E00691,UNIVERSITY OF MICHIGAN-ANN ARBOR - SCHOO,1011 NORTH UNIVERSITY AVENUE,ANN ARBOR,MI,48104,N/A,N/A,N/A
E00701,MARICOPA SKILL CENTER,1245 EAST BUCKEYE ROAD,PHOENIX,AZ,85034,N/A,N/A,N/A
E00710,INTERACTIVE LEARNING SYSTEMS,11 SPIRAL DRIVE  SUITE 8,FLORENCE,KY,41042,N/A,N/A,N/A
E00711,INTERACTIVE COLG OF TECHNOLOGY HOUSTON,2950 SOUTH GESSNER,HOUSTON,TX,77063,N/A,N/A,N/A
E00722,GORDON-CONWELL THEO SEM - CHARLOTTE,14542 CHOATE CIRCLE,CHARLOTTE,NC,28273,N/A,N/A,N/A
E00727,INSTITUTE FOR BUSINESS & TECHNOLOGY - NA,11080 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95670,N/A,N/A,N/A
E00729,LINCOLN TECHNICAL INSTITUTE - MAHWAH,70 MCKEE DRIVE,MAHWAH,NJ,07430,N/A,N/A,N/A
E00750,UNIVERSITY OF PITTSBURGH - SCHOOL OF DEN,3501 TERRACE STREET,PITTSBURGH,PA,15261,N/A,N/A,N/A
E00773,CHICAGO KENT COLLEGE OF LAW,565 W ADAMS STREET,CHICAGO,IL,60661,N/A,N/A,N/A
E00780,FORTIS INSTITUTE - FORTIS COLLEGE,2140 SOUTH COBB DRIVE,SMYRNA,GA,30080,N/A,N/A,N/A
E00784,EDUCATORS OF BEAUTY,128 S. 5TH STREET,ROCKFORD,IL,61104,N/A,N/A,N/A
E00793,NATIONAL-LOUIS UNIVERSITY,"TWO URBAN CENTRE, SUITE 145",TAMPA,FL,33609,N/A,N/A,N/A
E00797,OFFICIAL USE ONLY,"830 FIRST STREET, N.E.",WASHINGTON,DC,20202,N/A,N/A,N/A
E00819,SOUTHERN CAREERS INSTITUTE - PHARR,1500 NORTH JACKSON ROAD,PHARR,TX,78577,N/A,N/A,N/A
E00820,SOUTHERN CAREERS INSTITUTE - CORPUS CHRI,2422 AIRLINE ROAD,CORPUS CHRISTI,TX,78414,N/A,N/A,N/A
E00821,SOUTHERN CAREERS INSTITUTE - SAN ANTONIO,238 SOUTHWEST MILITARY DRIVE,SAN ANTONIO,TX,78221,N/A,N/A,N/A
E00830,FLORIDA ATLANTIC UNIV-JUPITER/PSL,5353 PARKSIDE DRIVE,JUPITER,FL,33458,N/A,N/A,N/A
E00831,CHEEKS INTERNATIONAL ACADEMY OF BEAUTY C,5010 GRANITE STREET,LOVELAND,CO,80538,N/A,N/A,N/A
E00834,FLORIDA NATIONAL UNIVERSITY - SOUTH CAMP,11865 SOUTHWEST 26 STREET,MIAMI,FL,33175,N/A,N/A,N/A
E00835,FLORIDA NATIONAL UNIVERSITY - TRAINING A,4206 WEST 12 AVENUE,HIALEAH,FL,33012,N/A,N/A,N/A
E00838,MILDRED ELLEY - PITTSFIELD,100 WEST STREET,PITTSFIELD,MA,01201,N/A,N/A,N/A
E00840,COLORADO TECHNICAL UNIVERSITY - DENVER B,3151 SOUTH VAUGHN WAY,AURORA,CO,80014,N/A,N/A,N/A
E00876,NEW MEXICO STATE UNIV.-DONA ANA CLG,P O BOX 30001  MSC 3DA,LAS CRUCES,NM,88003,N/A,N/A,N/A
E00896,MILLER-MOTTE COLLEGE - WILMINGTON,5000 MARKET STREET,WILMINGTON,NC,28405,N/A,N/A,N/A
E00902,JOHN DEWEY COLLEGE,CAROLINA INDUSTRIAL PARK,CAROLINA,PR,00986,N/A,N/A,N/A
E00906,MIDWESTERN UNIVERSITY,19555 NORTH 59TH AVENUE,GLENDALE,AZ,85308,N/A,N/A,N/A
E00911,PACIFIC COLLEGE OF ORIENTAL MEDICINE - N,110 WILLIAM ST,NEW YORK,NY,10038,N/A,N/A,N/A
E00912,LINCOLN TECHNICAL INSTITUTE,308 WEST ROUTE 38,MOORESTOWN,NJ,08057,N/A,N/A,N/A
E00913,LINCOLN TECHNICAL INSTITUTE,240 BERGEN TOWN CENTER,PARAMUS,NJ,07652,N/A,N/A,N/A
E00914,PLATT COLLEGE,3700 INLAND EMPIRE BLVD STE400,ONTARIO,CA,91764,N/A,N/A,N/A
E00933,RASMUSSEN UNIVERSITY - CENTRAL PASCO,16418 STATE ROAD 54,ODESSA,FL,33556,N/A,N/A,N/A
E00947,UNITED EDUCATION INSTITUTE - UEI MORROW,1564 SOUTHLAKE PARKWAY,MORROW,GA,30260,N/A,N/A,N/A
E00953,INTERACTIVE LEARNING SYSTEMS,"1078 CITIZENS PARKWAY, SUITE A",MORROW,GA,30260,N/A,N/A,N/A
E00959,PLATT COLLEGE - ANAHEIM,1551 SOUTH DOUGLASS ROAD,ANAHEIM,CA,92806,N/A,N/A,N/A
E00960,INTERACTIVE COLLEGE OF TECHNOLOGY,2323 BROWNS BRIDGE ROAD,GAINESVILLE,GA,30501,N/A,N/A,N/A
E00961,TRINITY INTERNATIONAL UNIV-CA,2200 N. GRAND AVE,SANTA ANA,CA,92705,N/A,N/A,N/A
E00970,MILLER-MOTTE COLLEGE - CHARLESTON,8085 RIVERS AVENUE,NORTH CHARLESTON,SC,29418,N/A,N/A,N/A
E00978,BRIGHTWOOD COLLEGE - BEAUMONT,PARKDALE MALL,BEAUMONT,TX,77706,N/A,N/A,N/A
E00983,PACIFIC COLLEGE OF ORIENTAL MEDICINE - C,65 E. WACKER PLACE,CHICAGO,IL,60601,N/A,N/A,N/A
E00985,OHIO MEDIA SCHOOL - COLORADO MEDIA SCHL,1310 WADSWORTH BOULEVARD,LAKEWOOD,CO,80214,N/A,N/A,N/A
E00993,BARRY UNIVERSITY - ORLANDO,6441 EAST COLONIAL DRIVE,ORLANDO,FL,32807,N/A,N/A,N/A
E00994,MIAMI DADE COLLEGE - EDUARDO J. PADRON C,627 S.W. 27TH AVENUE,MIAMI,FL,33135,N/A,N/A,N/A
E00996,WEST VIRGINIA JUNIOR COLLEGE,176 THOMPSON DRIVE,BRIDGEPORT,WV,26330,N/A,N/A,N/A
E01002,COMMONWEALTH OF PR DEPT OF EDUC - TROQUE,#150 URB INDUSTRIAL MINILLAS,BAYAMON,PR,00959,N/A,N/A,N/A
E01009,BRIGHTWOOD COLLEGE - LAREDO,6410 MCPHERSON ROAD,LAREDO,TX,78041,N/A,N/A,N/A
E01020,CREATIVE IMAGES INSTITUTE OF COSMETOLOGY,568 MIAMISBURG-CENTERVILLE RD,DAYTON,OH,45459,N/A,N/A,N/A
E01030,INTERACTIVE COLLEGE OF TECHNOLOGY NORTH,256 NORTH SAM HOUSTON PARKWAY,HOUSTON,TX,77060,N/A,N/A,N/A
E01033,INDIANA UNIVERSITY - PURDUE UNIVERSITY I,4601 CENTRAL AVENUE,COLUMBUS,IN,47203,N/A,N/A,N/A
E01034,DECKER COLLEGE -,3700 DEKALB TECHNOLOGY PARKWAY,ATLANTA,GA,30340,N/A,N/A,N/A
E01035,DECKER COLLEGE -,6801 HILLSDALE COURT,INDIANAPOLIS,IN,46250,N/A,N/A,N/A
E01036,MANATEE TECHNICAL COLLEGE - EAST CAMPUS,5520 LAKEWOOD RANCH BVD,BRADENTON,FL,34211,N/A,N/A,N/A
E01051,AMERICAN INTERCONTINENTAL UNIV - HOUSTON,9999 RICHMOND ROAD,HOUSTON,TX,77042,N/A,N/A,N/A
E01054,PCI ACADEMY - PCI ACADEMY,4315 PEONY LANE NORTH,PLYMOUTH,MN,55446,N/A,N/A,N/A
E01061,SOUTHWEST FLORIDA COLLEGE - TAMPA,3910 RIGA BLVD,TAMPA,FL,33619,N/A,N/A,N/A
E01089,DECKER SCHOOL OF CONSTRUCTION CRAFTS INC,11801 CENTRAL PARKWAY,JACKSONVILLE,FL,32224,N/A,N/A,N/A
E01094,LINCOLN COLLEGE OF TECHNOLOGY - MARIETTA,2359 WINDY HILL ROAD,MARIETTA,GA,30067,N/A,N/A,N/A
E01099,DECKER COLLEGE -,5534 NATIONAL TURNPIKE,LOUISVILLE,KY,40214,N/A,N/A,N/A
E01111,RESEARCH MEDICAL CENTER - COLLEGE OF NUR,2300 EAST MEYER BOULEVARD,KANSAS CITY,MO,64132,N/A,N/A,N/A
E01113,DELAWARE AREA CAREER CENTER -,1610 STATE ROUTE 521,DELAWARE,OH,43015,N/A,N/A,N/A
E01127,RENSSELAER POLYTECHNIC INSTITUTE-RENSSEL,275 WINDSOR STREET,HARTFORD,CT,06120,N/A,N/A,N/A
E01154,TWIN CITY BEAUTY COLLEGE - TRAVERSE CITY,1144 BOON STREET,TRAVERSE CITY,MI,49686,N/A,N/A,N/A
E01195,BRIGHTWOOD COLLEGE - FRIENDSWOOD,BAYWOOD PLAZA,FRIENDSWOOD,TX,77546,N/A,N/A,N/A
E01200,DELTA COLLEGE - SLIDELL,"105 GAUSE BOULEVARD, WEST",SLIDELL,LA,70460,N/A,N/A,N/A
E01208,DELTA COLLEGE OF ARTS & TECHNOLOGY - LAF,"200 REPUBLIC AVENUE, SUITE F",LAFAYETTE,LA,70508,N/A,N/A,N/A
E01223,VIRGINIA COLLEGE - BILOXI,920 CEDAR LAKE ROAD,BILOXI,MS,39532,N/A,N/A,N/A
E01225,JOHN DEWEY COLLEGE - JUANA DIAZ BRANCH,BO.LOMAS 149 ROAD KM. 6702,JUANA DIAZ,PR,00795,N/A,N/A,N/A
E01240,HAIR PROFESSIONALS ACADEMY OF COSMETOLOG,1100 NORTH SHERMAN,NAPERVILLE,IL,60563,N/A,N/A,N/A
E01244,RASMUSSEN UNIVERSITY - ROCKFORD,"6000 EAST STATE STREET, 4TH FLOOR",ROCKFORD,IL,61108,N/A,N/A,N/A
E01251,COLLEGE OF  MENOMINEE NATION - GREEN BAY,2733 SOUTH RIDGE ROAD SUITE 3,GREEN BAY,WI,54304,N/A,N/A,N/A
E01254,EAST TENNESSEE STATE UNIV - PHARMACY,"CHARLES ED ALLEN HALL, VA",JOHNSON CITY,TN,37614,N/A,N/A,N/A
E01255,LINCOLN TECHNICAL INSTITUTE - WHITESTONE,15-30 PETRACCA PLACE,WHITESTONE,NY,11357,N/A,N/A,N/A
E01264,RASMUSSEN UNIVERSITY - LAKE ELMO,8565 EAGLE POINT CIRCLE,LAKE ELMO,MN,55042,N/A,N/A,N/A
E01265,LINCOLN TECHNICAL INSTITUTE-EUPH INST OF,9340 WEST SAHARA AVENUE,LAS VEGAS,NV,89117,N/A,N/A,N/A
E01295,RASMUSSEN UNIVERSITY - GREEN BAY,904 SOUTH TAYLOR STREET,GREEN BAY,WI,54303,N/A,N/A,N/A
E01296,MIAMI DADE COLLEGE - HIALEAH CAMPUS,1776 WEST 49TH STREET,HIALEAH,FL,33012,N/A,N/A,N/A
E01300,MILLER-MOTTE COLLEGE - STVT- BROWNSVILLE,1900 NORTH EXPRESSWAY,BROWNSVILLE,TX,78521,N/A,N/A,N/A
E01355,NUC UNIVERSITY - FLORIDA TECHNICAL COLLE,4715 SOUTH FLORIDA AVENUE,LAKELAND,FL,33813,N/A,N/A,N/A
E01377,NUC UNIVERSITY - FLORIDA TECHNICAL COLLE,1119 S. WOODLAND BOULEVARD,DELAND,FL,32720,N/A,N/A,N/A
E01378,INSTITUTE FOR BUSINESS & TECHNOLOGY - LA,5819 NORTHWEST LOOP 410,SAN ANTONIO,TX,78230,N/A,N/A,N/A
E01382,RASMUSSEN UNIVERSITY - MOORHEAD,1250 29TH AVENUE SOUTH,MOORHEAD,MN,56560,N/A,N/A,N/A
E01393,FORTIS INSTITUTE - NASHVILLE,3354 PERIMETER HILL DRIVE,NASHVILLE,TN,37211,N/A,N/A,N/A
E01397,FLAGLER COLLEGE - TALLAHASSEE COMMUNITY,444 APPLEYARD DRIVE,TALLAHASSEE,FL,32304,N/A,N/A,N/A
E01435,COMMONWEALTH OF PR DEPT OF EDUC - ITPR R,ROAD #2 KM 43.5,MANATI,PR,00701,N/A,N/A,N/A
E01451,ROSS COLLEGE-BETTENDORF,2119 E. KIMBERLY ROAD,BETTENDORF,IA,52722,N/A,N/A,N/A
E01452,ROSS COLLEGE-HOPKINSVILLE,4001 FORT CAMPBELL BOULEVARD,HOPKINSVILLE,KY,42240,N/A,N/A,N/A
E01459,ROSS MEDICAL EDUCATION CENTER-SAGINAW,"4300 FASHION SQUARE BOULEVARD,",SAGINAW,MI,48603,N/A,N/A,N/A
E01460,ROSS MEDICAL EDUCATION CENTER-PORT HURON,3568 PINE GROVE AVENUE,PORT HURON,MI,48060,N/A,N/A,N/A
E01461,ROSS MEDICAL EDUCATION CENTER-ROOSEVELT,950 NORTON AVENUE,ROOSEVELT PARK,MI,49441,N/A,N/A,N/A
E01462,ROSS MEDICAL EDUCATION CENTER-ANN ARBOR,4741 WASHTENAW AVENUE,ANN ARBOR,MI,48108,N/A,N/A,N/A
E01463,ROSS MEDICAL EDUCATION CENTER - GRAND RA,"4528 BRETON, SOUTH EAST",KENTWOOD,MI,49508,N/A,N/A,N/A
E01464,ROSS MEDICAL EDUCATION CENTER-REDFORD,9327 TELEGRAPH  ROAD,REDFORD,MI,48239,N/A,N/A,N/A
E01471,AMERICAN INSTITUTE - CLIFTON,346 LEXINGTON AVENUE,CLIFTON,NJ,07011,N/A,N/A,N/A
E01494,RASMUSSEN UNIVERSITY - FORT MYERS,"9160 FORUM CORPORATE PARKWAY, #100",FORT MYERS,FL,33905,N/A,N/A,N/A
E01510,RASMUSSEN UNIVERSITY - AURORA,"2363 SEQUOIA DRIVE, SUITE 131",AURORA,IL,60506,N/A,N/A,N/A
E01513,MILLER-MOTTE COLLEGE - RALEIGH,3901 CAPITAL BOULEVARD,RALEIGH,NC,27604,N/A,N/A,N/A
E01599,MEDIATECH INSTITUTE - HOUSTON,3324 WALNUT BEND LANE,HOUSTON,TX,77042,N/A,N/A,N/A
E01629,OHIO MEDIA SCHOOL - COLUMBUS CAMPUS,5330 EAST MAIN STREET,COLUMBUS,OH,43213,N/A,N/A,N/A
E01647,SOUTHWEST FLORIDA COLLEGE - PORT CHARLOT,GRAND OAKS PLAZA II,PORT CHARLOTTE,FL,33953,N/A,N/A,N/A
E01649,RASMUSSEN UNIVERSITY - ROMEOVILLE,1400 WEST NORMANTOWN ROAD,ROMEOVILLE,IL,60446,N/A,N/A,N/A
E01653,MILLER-MOTTE COLLEGE - STVT - CORPUS CHR,2000 S. PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78416,N/A,N/A,N/A
E01654,CAREER ACADEMY OF HAIR DESIGN - ROGERS,2100 WEST HUDSON ROAD,ROGERS,AR,72756,N/A,N/A,N/A
E01660,BROOKLINE COLLEGE - MESA,925 SOUTH GILBERT ROAD #201,MESA,AZ,85204,N/A,N/A,N/A
E01661,BROOKLINE COLLEGE - TUCSON,5441 EAST 22ND STREET,TUCSON,AZ,85711,N/A,N/A,N/A
E01662,BROOKLINE COLLEGE - ALBUQUERQUE,"4201 CENTRAL AVENUE, NORTHWEST",ALBUQUERQUE,NM,87105,N/A,N/A,N/A
E01684,WICHITA TECHNICAL INSTITUTE - WTI JOPLIN,1715 NORTH RANGELINE ROAD,JOPLIN,MO,64801,N/A,N/A,N/A
E01685,WTI TULSA CAMPUS,708 S. SHERIDAN,TULSA,OK,74112,N/A,N/A,N/A
E01686,WICHITA TECHNICAL INSTITUTE - EAST CAMPU,6130 E. CENTRAL,WICHITA,KS,67208,N/A,N/A,N/A
E01688,SOUTHERN CAREERS INSTITUTE - BROWNSVILLE,"1424 W. PRICE ROAD, STE. K",BROWNSVILLE,TX,78520,N/A,N/A,N/A
E01689,SOUTHERN CAREERS INSTITUTE - HARLINGEN,603 ED CAREY DRIVE,HARLINGEN,TX,78550,N/A,N/A,N/A
E01697,ECPI UNIVERSITY - GREENVILLE,1001 KEYS DRIVE,GREENVILLE,SC,29615,N/A,N/A,N/A
E01698,ECPI UNIVERSITY - MANASSAS,10021 BALLS FORD ROAD,MANASSAS,VA,20109,N/A,N/A,N/A
E01699,ECPI UNIVERSITY - CHARLESTON,3800 PARAMOUNT DRIVE,NORTH CHARLESTON,SC,29405,N/A,N/A,N/A
E01700,ECPI UNIVERSITY - RALEIGH,4101 DOIE COPE ROAD,RALEIGH,NC,27613,N/A,N/A,N/A
E01701,ECPI UNIVERSITY - COLUMBIA,250 BERRYHILL ROAD,COLUMBIA,SC,29210,N/A,N/A,N/A
E01703,ECPI UNIVERSITY - CULINARY INSTITUTE OF,2428 ALMEDA AVENUE,NORFOLK,VA,23513,N/A,N/A,N/A
E01704,ECPI UNIVERSITY - VIRGINIA BEACH HEALTH,5501 GREENWICH RD,VIRGINIA BEACH,VA,23462,N/A,N/A,N/A
