School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
005254,LANIER TECHNICAL COLLEGE,HALL CAMPUS,GAINESVILLE,GA,30507,N/A,N/A,N/A
005256,WIREGRASS GEORGIA TECHNICAL COLLEGE,4089 VAL TECH ROAD,VALDOSTA,GA,31602,N/A,N/A,N/A
005258,HAWAII COMMUNITY COLLEGE,200 W KAWILI STREET,HILO,HI,96720,N/A,N/A,N/A
005260,J.F. DRAKE STATE TECH COLLEGE,3421 MERIDIAN STREET NORTH,HUNTSVILLE,AL,35811,N/A,N/A,N/A
005263,MINNESOTA WEST CMNTY & TECH COLG,1593 11TH AVE,GRANITE FALLS,MN,56241,N/A,N/A,N/A
005264,FLINT HILLS TECHNICAL COLLEGE,3301 WEST 18TH AVENUE,EMPORIA,KS,66801,N/A,N/A,N/A
005265,NORTH CENTRAL KANSAS TECH COLG,NORTH HIGHWAY 24,BELOIT,KS,67420,N/A,N/A,N/A
005267,NORTHWEST KANSAS TECHNICAL COLLEGE,1209 HARRISON STREET,GOODLAND,KS,67735,N/A,N/A,N/A
005271,SOUTHCENTRAL KENTUCKY COMMUNITY AND TECH,1845 LOOP DRIVE,BOWLING GREEN,KY,42101,N/A,N/A,N/A
005276,CENTRAL MAINE COMMUNITY COLLEGE,1250 TURNER ST,AUBURN,ME,04210,N/A,N/A,N/A
005277,EASTERN MAINE COMMUNITY COLLEGE,354 HOGAN ROAD,BANGOR,ME,04401,N/A,N/A,N/A
005281,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY,426 HIGHWAY 91,ELIZABETHTON,TN,37643,N/A,N/A,N/A
005283,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY,340 WASHINGTON STREET,NEWBERN,TN,38059,N/A,N/A,N/A
005286,NORTHERN NEW MEXICO COLLEGE,921 PASEO DE ONATE,ESPANOLA,NM,87532,N/A,N/A,N/A
005291,WHITE MOUNTAINS COMMUNITY COLLEGE,2020 RIVERSIDE DR,BERLIN,NH,03570,N/A,N/A,N/A
005294,WAUKESHA COUNTY TECHNICAL COLLEGE,800 MAIN ST,PEWAUKEE,WI,53072,N/A,N/A,N/A
005301,NORTHEAST WISCONSIN TECHNICAL COLLEGE,2740 W MASON ST,GREEN BAY,WI,54307,N/A,N/A,N/A
005303,MORAINE PARK TECHNICAL COLLEGE,235 NORTH NATIONAL AVENUE,FOND DU LAC,WI,54936,N/A,N/A,N/A
005304,CHIPPEWA VALLEY TECHNICAL COLLEGE,620 WEST CLAIREMONT,EAU CLAIRE,WI,54701,N/A,N/A,N/A
005307,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-,241 VO-TECH DRIVE,MCMINNVILLE,TN,37110,N/A,N/A,N/A
005309,LAKE AREA TECHNICAL COLLEGE,1201 ARROW AVENUE,WATERTOWN,SD,57201,N/A,N/A,N/A
005310,PITTSBURGH INST OF AERONAUTICS,POST OFFICE BOX 10897,PITTSBURGH,PA,15236,N/A,N/A,N/A
005312,RED RIVER TECHNOLOGY CENTER,3300 WEST BOIS D'ARC,DUNCAN,OK,73533,N/A,N/A,N/A
005313,NORTH CENTRAL STATE COLLEGE,2441 KENWOOD CIRCLE,MANSFIELD,OH,44906,N/A,N/A,N/A
005316,COASTAL CAROLINA COMMUNITY COLLEGE,444 WESTERN BOULEVARD,JACKSONVILLE,NC,28546,N/A,N/A,N/A
005317,FORSYTH TECHNICAL COMMUNITY COLLEGE,2100 SILAS CREEK PARKWAY,WINSTON-SALEM,NC,27103,N/A,N/A,N/A
005318,CATAWBA VALLEY COMMUNITY COLLEGE,2550 HWY 70 SE,HICKORY,NC,28602,N/A,N/A,N/A
005320,CAPE FEAR COMMUNITY COLLEGE,411 NORTH FRONT ST,WILMINGTON,NC,28401,N/A,N/A,N/A
005352,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-,16940 HIGHLAND DRIVE,MCKENZIE,TN,38201,N/A,N/A,N/A
005353,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-,740 HI TECH DRIVE,LIVINGSTON,TN,38570,N/A,N/A,N/A
005357,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY,3070 HIGHWAY WEST 64,CRUMP,TN,38327,N/A,N/A,N/A
005358,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY,1635 VOTECH DRIVE,ATHENS,TN,37371,N/A,N/A,N/A
005360,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-,550 ALABAMA AVENUE,MEMPHIS,TN,38105,N/A,N/A,N/A
005363,DENMARK TECHNICAL COLLEGE,500 SOLOMON BLATT BOULEVARD,DENMARK,SC,29042,N/A,N/A,N/A
005372,SOUTH PUGET SOUND COMMUNITY COLLEGE,2011 MOTTMAN RD SW,OLYMPIA,WA,98512,N/A,N/A,N/A
005373,LAKE WASHINGTON TECHNICAL COLLEGE,11605-132 AVENUE NE,KIRKLAND,WA,98034,N/A,N/A,N/A
005378,NORTHEAST STATE COMMUNITY COLLEGE,2425 HIGHWAY 75,BLOUNTVILLE,TN,37617,N/A,N/A,N/A
005379,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-,1405 MADISON STREET,SHELBYVILLE,TN,37160,N/A,N/A,N/A
005380,MID-STATE TECHNICAL COLLEGE,500 32ND STREET NORTH,WISCONSIN RAPIDS,WI,54494,N/A,N/A,N/A
005387,NORTHCENTRAL TECHNICAL COLLEGE,1000 WEST CAMPUS DRIVE,WAUSAU,WI,54401,N/A,N/A,N/A
005389,GATEWAY TECHNICAL COLLEGE,3520 30TH AVE,KENOSHA,WI,53144,N/A,N/A,N/A
005390,BLACKHAWK TECHNICAL COLLEGE,6004 S COUNTY ROAD G,JANESVILLE,WI,53547,N/A,N/A,N/A
005399,MONMOUTH COUNTY VOCATIONAL SCH DIST,4000 KOZLOSKI ROAD,FREEHOLD,NJ,07728,N/A,N/A,N/A
005424,SOUTH CENTRAL CAREER CENTER,407 W. THORNBURGH,WEST PLAINS,MO,65775,N/A,N/A,N/A
005447,RANDOLPH COMMUNITY COLLEGE,P.O. BOX 1009,ASHEBORO,NC,27204,N/A,N/A,N/A
005448,DURHAM TECHNICAL CMNTY COLLEGE,1637 LAWSON STREET,DURHAM,NC,27703,N/A,N/A,N/A
005449,CENTRAL CAROLINA COMMUNITY COLLEGE,1105 KELLY DRIVE,SANFORD,NC,27330,N/A,N/A,N/A
005452,AVIATION INSTITUTE OF MAINTENANCE,80 MOONACHIE AVE,TETERBORO,NJ,07608,N/A,N/A,N/A
005461,SALEM COMMUNITY COLLEGE,460 HOLLYWOOD AVE,CARNEY'S POINT,NJ,08069,N/A,N/A,N/A
005463,ALAMANCE COMMUNITY COLLEGE,1247 JIMMIE KERR RD,GRAHAM,NC,27253,N/A,N/A,N/A
005464,RICHMOND COMMUNITY COLLEGE,1042 WEST HAMLET AVENUE,HAMLET,NC,28345,N/A,N/A,N/A
005467,SOWELA TECHNICAL COMMUNITY COLLEGE,3820 J. BENNETT JOHNSTON AVENUE,LAKE CHARLES,LA,70616,N/A,N/A,N/A
005489,CENTRAL LOUISIANA TECHNICAL COMMUNITY CO,516 MURRAY STREET,ALEXANDRIA,LA,71301,N/A,N/A,N/A
005498,WICHITA STATE UNIVERSITY CAMPUS OF APPLI,4004 NORTH WEBB ROAD,WICHITA,KS,67226,N/A,N/A,N/A
005499,SALINA AREA TECHNICAL COLLEGE,2562 CENTENNIAL RD,SALINA,KS,67401,N/A,N/A,N/A
